country name,country code,year,gdp_per_capita,type_,value
Canada,CAN,2014,43643.24,WCS,65.69
United States,USA,2014,55817.56,WCS,65.69
Canada,CAN,2015,43594.19,WCS,30.43
United States,USA,2015,57040.21,WCS,30.43
Canada,CAN,2016,43551.34,WCS,17.88
United States,USA,2016,57658.67,WCS,17.88
Canada,CAN,2017,44339.39,WCS,37.19
United States,USA,2017,58703.14,WCS,37.19
Canada,CAN,2018,44907.34,WCS,42.53
United States,USA,2018,60127.21,WCS,42.53
Canada,CAN,2019,45100.29,WCS,34.3
United States,USA,2019,61400.55,WCS,34.3
Canada,CAN,2020,42366.13,WCS,36.82
United States,USA,2020,59493.15,WCS,36.82
Canada,CAN,2021,44359.62,WCS,40.04
United States,USA,2021,62996.29,WCS,40.04
Canada,CAN,2022,45227.14,WCS,65.6
United States,USA,2022,64342.12,WCS,65.6
Canada,CAN,2023,44468.75,WCS,49.94
United States,USA,2023,65875.18,WCS,49.94
